timestamp,value_mgdl,value_mmol,trend
2023-03-01T23:56:52Z,132,7.3,flat
2023-03-01T23:51:52Z,132,7.3,flat
2023-03-01T23:46:52Z,133,7.4,flat
2023-03-01T23:41:52Z,133,7.4,flat
2023-03-01T23:36:52Z,133,7.4,flat
2023-03-01T23:31:52Z,132,7.3,flat
2023-03-01T23:26:52Z,130,7.2,flat
2023-03-01T23:21:53Z,130,7.2,flat
2023-03-01T23:16:52Z,126,7.0,flat
2023-03-01T23:11:52Z,124,6.9,flat
2023-03-01T23:06:52Z,124,6.9,flat
2023-03-01T23:01:52Z,123,6.8,flat
2023-03-01T22:56:53Z,122,6.8,flat
2023-03-01T22:51:52Z,122,6.8,flat
2023-03-01T22:46:52Z,122,6.8,flat
2023-03-01T22:41:52Z,120,6.7,flat
2023-03-01T22:36:52Z,119,6.6,flat
2023-03-01T22:31:52Z,117,6.5,flat
2023-03-01T22:26:52Z,115,6.4,flat
2023-03-01T22:21:52Z,115,6.4,flat
2023-03-01T22:16:52Z,118,6.6,flat
2023-03-01T22:11:52Z,122,6.8,flat
2023-03-01T22:06:52Z,127,7.1,flat
2023-03-01T22:01:52Z,129,7.2,flat
2023-03-01T21:56:52Z,131,7.3,flat
2023-03-01T21:51:53Z,130,7.2,flat
2023-03-01T21:46:53Z,134,7.4,flat
2023-03-01T21:41:52Z,135,7.5,flat
2023-03-01T21:36:52Z,139,7.7,flat
2023-03-01T21:31:52Z,139,7.7,flat
2023-03-01T21:26:52Z,138,7.7,flat
2023-03-01T21:21:52Z,139,7.7,flat
2023-03-01T21:16:52Z,140,7.8,flat
2023-03-01T21:11:52Z,142,7.9,flat
2023-03-01T21:06:53Z,142,7.9,flat
2023-03-01T21:01:52Z,140,7.8,flat
2023-03-01T20:56:52Z,136,7.6,flat
2023-03-01T20:51:52Z,133,7.4,flat
2023-03-01T20:46:52Z,137,7.6,flat
2023-03-01T20:41:52Z,139,7.7,fortyFiveUp
2023-03-01T20:36:52Z,135,7.5,fortyFiveUp
2023-03-01T20:31:52Z,123,6.8,flat
2023-03-01T20:26:53Z,114,6.3,flat
2023-03-01T20:21:52Z,111,6.2,flat
2023-03-01T20:16:52Z,111,6.2,flat
2023-03-01T20:11:52Z,110,6.1,flat
2023-03-01T20:06:52Z,109,6.1,flat
2023-03-01T20:01:52Z,109,6.1,flat
2023-03-01T19:56:52Z,110,6.1,flat
2023-03-01T19:51:52Z,111,6.2,flat
2023-03-01T19:46:54Z,110,6.1,flat
2023-03-01T19:41:53Z,111,6.2,flat
2023-03-01T19:36:53Z,111,6.2,flat
2023-03-01T19:31:53Z,112,6.2,flat
2023-03-01T19:26:53Z,114,6.3,flat
2023-03-01T19:21:53Z,116,6.4,flat
2023-03-01T19:16:53Z,116,6.4,flat
2023-03-01T19:11:53Z,116,6.4,flat
2023-03-01T19:06:54Z,118,6.6,flat
2023-03-01T19:01:54Z,120,6.7,flat
2023-03-01T18:56:53Z,122,6.8,flat
2023-03-01T18:51:53Z,123,6.8,flat
2023-03-01T18:46:53Z,124,6.9,flat
2023-03-01T18:41:53Z,122,6.8,flat
2023-03-01T18:36:53Z,120,6.7,flat
2023-03-01T18:31:54Z,118,6.6,flat
